"","season","team","coach","offense","defense","playoff_success","playoff_percentile"
"330",2023,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",1,0
"331",2024,"SEA","Mike Macdonald","Ryan Grubb","Aden Durde",1,0
"332",2025,"SEA","Mike Macdonald","Klint Kubiak","Aden Durde",6,1
"333",2015,"SF","Jim Tomsula","Geep Chryst","Eric Mangini",1,0
"334",2016,"SF","Chip Kelly","Curtis Modkins","Jim O'Neil",1,0
"335",2017,"SF","Kyle Shanahan","","Robert Saleh",1,0
"336",2018,"SF","Kyle Shanahan","","Robert Saleh",1,0
"337",2019,"SF","Kyle Shanahan","","Robert Saleh",5,0.96969696969697
"338",2020,"SF","Kyle Shanahan","","Robert Saleh",1,0
"339",2021,"SF","Kyle Shanahan","Mike McDaniel","DeMeco Ryans",4,0.909090909090909
"340",2022,"SF","Kyle Shanahan","","DeMeco Ryans",4,0.911764705882353
"341",2023,"SF","Kyle Shanahan","","Steve Wilks",5,0.970588235294118
"342",2024,"SF","Kyle Shanahan","","Nick Sorensen",1,0
"343",2025,"SF","Kyle Shanahan","Klay Kubiak","Robert Saleh",3,0.787878787878788
"344",2015,"TB","Lovie Smith","Dirk Koetter","Leslie Frazier",1,0
"345",2016,"TB","Dirk Koetter","Todd Monken","Mike Smith",1,0
"346",2017,"TB","Dirk Koetter","Todd Monken","Mike Smith",1,0
"347",2018,"TB","Dirk Koetter","Todd Monken","Mark Duffner, Mike Smith",1,0
"348",2019,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",1,0
"349",2020,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",6,1
"350",2021,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",3,0.787878787878788
"351",2022,"TB","Todd Bowles","Byron Leftwich","Larry Foote, Kacy Rodgers",2,0.617647058823529
"352",2023,"TB","Todd Bowles","Dave Canales","Larry Foote, Kacy Rodgers",3,0.794117647058823
"353",2024,"TB","Todd Bowles","Liam Coen","Larry Foote, Kacy Rodgers",2,0.617647058823529
"354",2025,"TB","Todd Bowles","Josh Grizzard","",1,0
"355",2015,"TEN","Mike Mularkey","Jason Michael","Ray Horton",1,0
"356",2015,"TEN","Ken Whisenhunt","Jason Michael","Ray Horton",1,0
"357",2016,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",1,0
"358",2017,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",3,0.78125
"359",2018,"TEN","Mike Vrabel","Matt LaFleur","Dean Pees",1,0
"360",2019,"TEN","Mike Vrabel","Arthur Smith","Dean Pees",4,0.909090909090909
"361",2020,"TEN","Mike Vrabel","Arthur Smith","",2,0.617647058823529
"362",2021,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",3,0.787878787878788
"363",2022,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",1,0
"364",2023,"TEN","Mike Vrabel","Tim Kelly","Shane Bowen",1,0
"365",2024,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",1,0
"366",2025,"TEN","Mike McCoy","Nick Holz","Dennard Wilson",1,0
"367",2025,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",1,0
"368",2015,"WSH","Jay Gruden","Sean McVay","Joe Barry",2,0.676470588235294
"369",2016,"WSH","Jay Gruden","Sean McVay","Joe Barry",1,0
"370",2017,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",1,0
"371",2018,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",1,0
"372",2019,"WSH","Bill Callahan","Kevin O'Connell","Greg Manusky",1,0
"373",2019,"WSH","Jay Gruden","Kevin O'Connell","Greg Manusky",1,0
"374",2020,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",2,0.617647058823529
"375",2021,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",1,0
"376",2022,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",1,0
"377",2023,"WSH","Ron Rivera","Eric Bieniemy","Jack Del Rio",1,0
"378",2024,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",4,0.911764705882353
"379",2025,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",1,0
