"","season","team","coach","offense","defense","win_pct","win_percentile"
"282",2022,"NYG","Brian Daboll","Mike Kafka","Don Martindale",0.529411764705882,0.588235294117647
"283",2023,"NYG","Brian Daboll","Mike Kafka","Don Martindale",0.352941176470588,0.205882352941176
"284",2024,"NYG","Brian Daboll","Mike Kafka","Shane Bowen",0.176470588235294,0
"285",2025,"NYG","Mike Kafka","","Shane Bowen, Charlie Bullen",0.235294117647059,0.151515151515152
"286",2025,"NYG","Brian Daboll","Mike Kafka","Shane Bowen, Charlie Bullen",0.235294117647059,0.151515151515152
"287",2015,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",0.625,0.705882352941177
"288",2016,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",0.3125,0.205882352941176
"289",2017,"NYJ","Todd Bowles","John Morton","Kacy Rodgers",0.3125,0.15625
"290",2018,"NYJ","Todd Bowles","Jeremy Bates","Kacy Rodgers",0.25,0.0303030303030303
"291",2019,"NYJ","Adam Gase","Dowell Loggains","Gregg Williams",0.4375,0.363636363636364
"292",2020,"NYJ","Adam Gase","Dowell Loggains","Frank Bush, Gregg Williams",0.125,0.0294117647058824
"293",2021,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",0.235294117647059,0.0909090909090909
"294",2022,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",0.411764705882353,0.264705882352941
"295",2023,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",0.411764705882353,0.264705882352941
"296",2024,"NYJ","Jeff Ulbrich","Nathaniel Hackett","",0.294117647058824,0.176470588235294
"297",2024,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",0.294117647058824,0.176470588235294
"298",2025,"NYJ","Aaron Glenn","Tanner Engstrand","Steve Wilks",0.176470588235294,0
"299",2015,"PHI","Pat Shurmur","","Bill Davis",0.4375,0.382352941176471
"300",2015,"PHI","Chip Kelly","Pat Shurmur","Bill Davis",0.4375,0.382352941176471
"301",2016,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",0.4375,0.323529411764706
"302",2017,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",0.8125,0.90625
"303",2018,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",0.5625,0.606060606060606
"304",2019,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",0.5625,0.636363636363636
"305",2020,"PHI","Doug Pederson","","Jim Schwartz",0.25,0.0588235294117647
"306",2021,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",0.529411764705882,0.454545454545455
"307",2022,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",0.823529411764706,0.970588235294118
"308",2023,"PHI","Nick Sirianni","Brian Johnson","Sean Desai",0.647058823529412,0.764705882352941
"309",2024,"PHI","Nick Sirianni","Kellen Moore","Vic Fangio",0.823529411764706,0.911764705882353
"310",2025,"PHI","Nick Sirianni","Kevin Patullo","Vic Fangio",0.647058823529412,0.696969696969697
"311",2015,"PIT","Mike Tomlin","Todd Haley","Keith Butler",0.625,0.705882352941177
"312",2016,"PIT","Mike Tomlin","Todd Haley","Keith Butler",0.6875,0.823529411764706
"313",2017,"PIT","Mike Tomlin","Todd Haley","Keith Butler",0.8125,0.90625
"314",2018,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",0.5625,0.606060606060606
"315",2019,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",0.5,0.545454545454545
"316",2020,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",0.75,0.852941176470588
"317",2021,"PIT","Mike Tomlin","Matt Canada","Keith Butler",0.529411764705882,0.454545454545455
"318",2022,"PIT","Mike Tomlin","Matt Canada","Teryl Austin",0.529411764705882,0.588235294117647
"319",2023,"PIT","Mike Tomlin","Matt Canada, Eddie Faulkner","Teryl Austin",0.588235294117647,0.676470588235294
"320",2024,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",0.588235294117647,0.588235294117647
"321",2025,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",0.588235294117647,0.666666666666667
"322",2015,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",0.625,0.705882352941177
"323",2016,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",0.625,0.735294117647059
"324",2017,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",0.5625,0.5
"325",2018,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",0.625,0.696969696969697
"326",2019,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",0.6875,0.818181818181818
"327",2020,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",0.75,0.852941176470588
"328",2021,"SEA","Pete Carroll","Shane Waldron","Ken Norton",0.411764705882353,0.242424242424242
"329",2022,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",0.529411764705882,0.588235294117647
"330",2023,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",0.529411764705882,0.470588235294118
"331",2024,"SEA","Mike Macdonald","Ryan Grubb","Aden Durde",0.588235294117647,0.588235294117647
"332",2025,"SEA","Mike Macdonald","Klint Kubiak","Aden Durde",0.823529411764706,0.939393939393939
"333",2015,"SF","Jim Tomsula","Geep Chryst","Eric Mangini",0.3125,0.147058823529412
"334",2016,"SF","Chip Kelly","Curtis Modkins","Jim O'Neil",0.125,0.0294117647058824
"335",2017,"SF","Kyle Shanahan","","Robert Saleh",0.375,0.28125
"336",2018,"SF","Kyle Shanahan","","Robert Saleh",0.25,0.0303030303030303
"337",2019,"SF","Kyle Shanahan","","Robert Saleh",0.8125,0.909090909090909
"338",2020,"SF","Kyle Shanahan","","Robert Saleh",0.375,0.352941176470588
"339",2021,"SF","Kyle Shanahan","Mike McDaniel","DeMeco Ryans",0.588235294117647,0.636363636363636
"340",2022,"SF","Kyle Shanahan","","DeMeco Ryans",0.764705882352941,0.882352941176471
"341",2023,"SF","Kyle Shanahan","","Steve Wilks",0.705882352941177,0.911764705882353
"342",2024,"SF","Kyle Shanahan","","Nick Sorensen",0.352941176470588,0.382352941176471
"343",2025,"SF","Kyle Shanahan","Klay Kubiak","Robert Saleh",0.705882352941177,0.787878787878788
"344",2015,"TB","Lovie Smith","Dirk Koetter","Leslie Frazier",0.375,0.235294117647059
"345",2016,"TB","Dirk Koetter","Todd Monken","Mike Smith",0.5625,0.588235294117647
"346",2017,"TB","Dirk Koetter","Todd Monken","Mike Smith",0.3125,0.15625
"347",2018,"TB","Dirk Koetter","Todd Monken","Mark Duffner, Mike Smith",0.3125,0.121212121212121
"348",2019,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",0.4375,0.363636363636364
"349",2020,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",0.6875,0.705882352941177
"350",2021,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",0.764705882352941,0.96969696969697
"351",2022,"TB","Todd Bowles","Byron Leftwich","Larry Foote, Kacy Rodgers",0.470588235294118,0.470588235294118
"352",2023,"TB","Todd Bowles","Dave Canales","Larry Foote, Kacy Rodgers",0.529411764705882,0.470588235294118
"353",2024,"TB","Todd Bowles","Liam Coen","Larry Foote, Kacy Rodgers",0.588235294117647,0.588235294117647
"354",2025,"TB","Todd Bowles","Josh Grizzard","",0.470588235294118,0.424242424242424
"355",2015,"TEN","Mike Mularkey","Jason Michael","Ray Horton",0.1875,0
"356",2015,"TEN","Ken Whisenhunt","Jason Michael","Ray Horton",0.1875,0
"357",2016,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",0.5625,0.588235294117647
"358",2017,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",0.5625,0.5
"359",2018,"TEN","Mike Vrabel","Matt LaFleur","Dean Pees",0.5625,0.606060606060606
"360",2019,"TEN","Mike Vrabel","Arthur Smith","Dean Pees",0.5625,0.636363636363636
"361",2020,"TEN","Mike Vrabel","Arthur Smith","",0.6875,0.705882352941177
"362",2021,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",0.705882352941177,0.848484848484849
"363",2022,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",0.411764705882353,0.264705882352941
"364",2023,"TEN","Mike Vrabel","Tim Kelly","Shane Bowen",0.352941176470588,0.205882352941176
"365",2024,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",0.176470588235294,0
"366",2025,"TEN","Mike McCoy","Nick Holz","Dennard Wilson",0.176470588235294,0
"367",2025,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",0.176470588235294,0
"368",2015,"WSH","Jay Gruden","Sean McVay","Joe Barry",0.5625,0.647058823529412
"369",2016,"WSH","Jay Gruden","Sean McVay","Joe Barry",0.5,0.470588235294118
"370",2017,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",0.4375,0.375
"371",2018,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",0.4375,0.393939393939394
"372",2019,"WSH","Bill Callahan","Kevin O'Connell","Greg Manusky",0.1875,0.0303030303030303
"373",2019,"WSH","Jay Gruden","Kevin O'Connell","Greg Manusky",0.1875,0.0303030303030303
"374",2020,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",0.4375,0.441176470588235
"375",2021,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",0.411764705882353,0.242424242424242
"376",2022,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",0.470588235294118,0.470588235294118
"377",2023,"WSH","Ron Rivera","Eric Bieniemy","Jack Del Rio",0.235294117647059,0.0588235294117647
"378",2024,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",0.705882352941177,0.823529411764706
"379",2025,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",0.294117647058824,0.212121212121212
