"","season","team","coach","offense","defense","one_score_wins","one_score_losses","close_win_pct","close_win_percentile"
"261",2025,"NE","Mike Vrabel","Josh McDaniels","Terrell Williams",7,3,0.7,0.848484848484849
"262",2015,"NO","Sean Payton","Pete Carmichael","Dennis Allen, Rob Ryan",5,5,0.5,0.382352941176471
"263",2016,"NO","Sean Payton","Pete Carmichael","Dennis Allen",5,7,0.416666666666667,0.382352941176471
"264",2017,"NO","Sean Payton","Pete Carmichael","Dennis Allen",2,3,0.4,0.375
"265",2018,"NO","Sean Payton","Pete Carmichael","Dennis Allen",5,2,0.714285714285714,0.878787878787879
"266",2019,"NO","Sean Payton","Pete Carmichael","Dennis Allen",7,1,0.875,0.96969696969697
"267",2020,"NO","Sean Payton","Pete Carmichael","Dennis Allen",5,3,0.625,0.764705882352941
"268",2021,"NO","Sean Payton","Pete Carmichael","Dennis Allen",2,3,0.4,0.303030303030303
"269",2022,"NO","Dennis Allen","Pete Carmichael","Ryan Nielsen, Kris Richard",5,6,0.454545454545455,0.529411764705882
"270",2023,"NO","Dennis Allen","Pete Carmichael","Joe Woods",3,6,0.333333333333333,0.205882352941176
"271",2024,"NO","Darren Rizzi","Klint Kubiak","Joe Woods",2,6,0.25,0.0882352941176471
"272",2024,"NO","Dennis Allen","Klint Kubiak","Joe Woods",2,6,0.25,0.0882352941176471
"273",2025,"NO","Kellen Moore","Doug Nussmeier","Brandon Staley",3,5,0.375,0.333333333333333
"274",2015,"NYG","Tom Coughlin","Ben McAdoo","Steve Spagnuolo",3,8,0.272727272727273,0.147058823529412
"275",2016,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",8,3,0.727272727272727,0.882352941176471
"276",2017,"NYG","Steve Spagnuolo","Mike Sullivan","",2,5,0.285714285714286,0.09375
"277",2017,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",2,5,0.285714285714286,0.09375
"278",2018,"NYG","Pat Shurmur","Mike Shula","James Bettcher",4,8,0.333333333333333,0.121212121212121
"279",2019,"NYG","Pat Shurmur","Mike Shula","James Bettcher",2,5,0.285714285714286,0.181818181818182
"280",2020,"NYG","Joe Judge","Jason Garrett","Patrick Graham",5,5,0.5,0.5
"281",2021,"NYG","Joe Judge","Jason Garrett, Freddie Kitchens","Patrick Graham",3,3,0.5,0.484848484848485
"282",2022,"NYG","Brian Daboll","Mike Kafka","Don Martindale",8,4,0.666666666666667,0.823529411764706
"283",2023,"NYG","Brian Daboll","Mike Kafka","Don Martindale",4,4,0.5,0.441176470588235
"284",2024,"NYG","Brian Daboll","Mike Kafka","Shane Bowen",1,8,0.111111111111111,0
"285",2025,"NYG","Mike Kafka","","Shane Bowen, Charlie Bullen",1,7,0.125,0.0303030303030303
"286",2025,"NYG","Brian Daboll","Mike Kafka","Shane Bowen, Charlie Bullen",1,7,0.125,0.0303030303030303
"287",2015,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",4,5,0.444444444444444,0.352941176470588
"288",2016,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",4,4,0.5,0.5
"289",2017,"NYJ","Todd Bowles","John Morton","Kacy Rodgers",3,6,0.333333333333333,0.25
"290",2018,"NYJ","Todd Bowles","Jeremy Bates","Kacy Rodgers",2,6,0.25,0
"291",2019,"NYJ","Adam Gase","Dowell Loggains","Gregg Williams",5,2,0.714285714285714,0.818181818181818
"292",2020,"NYJ","Adam Gase","Dowell Loggains","Frank Bush, Gregg Williams",2,4,0.333333333333333,0.205882352941176
"293",2021,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",4,5,0.444444444444444,0.393939393939394
"294",2022,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",4,6,0.4,0.294117647058824
"295",2023,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",4,4,0.5,0.441176470588235
"296",2024,"NYJ","Jeff Ulbrich","Nathaniel Hackett","",3,7,0.3,0.205882352941176
"297",2024,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",3,7,0.3,0.205882352941176
"298",2025,"NYJ","Aaron Glenn","Tanner Engstrand","Steve Wilks",3,5,0.375,0.333333333333333
"299",2015,"PHI","Pat Shurmur","","Bill Davis",5,3,0.625,0.705882352941177
"300",2015,"PHI","Chip Kelly","Pat Shurmur","Bill Davis",5,3,0.625,0.705882352941177
"301",2016,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",1,6,0.142857142857143,0
"302",2017,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",5,2,0.714285714285714,0.78125
"303",2018,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",6,6,0.5,0.424242424242424
"304",2019,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",5,5,0.5,0.484848484848485
"305",2020,"PHI","Doug Pederson","","Jim Schwartz",3,5,0.375,0.264705882352941
"306",2021,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",2,4,0.333333333333333,0.181818181818182
"307",2022,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",7,1,0.875,0.970588235294118
"308",2023,"PHI","Nick Sirianni","Brian Johnson","Sean Desai",8,3,0.727272727272727,0.941176470588235
"309",2024,"PHI","Nick Sirianni","Kellen Moore","Vic Fangio",8,2,0.8,0.941176470588235
"310",2025,"PHI","Nick Sirianni","Kevin Patullo","Vic Fangio",8,4,0.666666666666667,0.757575757575758
"311",2015,"PIT","Mike Tomlin","Todd Haley","Keith Butler",4,4,0.5,0.382352941176471
"312",2016,"PIT","Mike Tomlin","Todd Haley","Keith Butler",5,2,0.714285714285714,0.852941176470588
"313",2017,"PIT","Mike Tomlin","Todd Haley","Keith Butler",8,2,0.8,0.96875
"314",2018,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",6,5,0.545454545454545,0.575757575757576
"315",2019,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",6,5,0.545454545454545,0.636363636363636
"316",2020,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",7,2,0.777777777777778,0.882352941176471
"317",2021,"PIT","Mike Tomlin","Matt Canada","Keith Butler",8,2,0.8,0.96969696969697
"318",2022,"PIT","Mike Tomlin","Matt Canada","Teryl Austin",7,5,0.583333333333333,0.676470588235294
"319",2023,"PIT","Mike Tomlin","Matt Canada, Eddie Faulkner","Teryl Austin",9,2,0.818181818181818,1
"320",2024,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",6,4,0.6,0.735294117647059
"321",2025,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",7,3,0.7,0.848484848484849
"322",2015,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",2,5,0.285714285714286,0.176470588235294
"323",2016,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",5,3,0.625,0.735294117647059
"324",2017,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",4,6,0.4,0.375
"325",2018,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",5,6,0.454545454545455,0.393939393939394
"326",2019,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",10,2,0.833333333333333,0.909090909090909
"327",2020,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",8,3,0.727272727272727,0.852941176470588
"328",2021,"SEA","Pete Carroll","Shane Waldron","Ken Norton",3,5,0.375,0.272727272727273
"329",2022,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",4,6,0.4,0.294117647058824
"330",2023,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",6,4,0.6,0.764705882352941
"331",2024,"SEA","Mike Macdonald","Ryan Grubb","Aden Durde",6,2,0.75,0.882352941176471
"332",2025,"SEA","Mike Macdonald","Klint Kubiak","Aden Durde",6,3,0.666666666666667,0.757575757575758
"333",2015,"SF","Jim Tomsula","Geep Chryst","Eric Mangini",4,2,0.666666666666667,0.852941176470588
"334",2016,"SF","Chip Kelly","Curtis Modkins","Jim O'Neil",1,5,0.166666666666667,0.0882352941176471
"335",2017,"SF","Kyle Shanahan","","Robert Saleh",2,5,0.285714285714286,0.09375
"336",2018,"SF","Kyle Shanahan","","Robert Saleh",3,6,0.333333333333333,0.121212121212121
"337",2019,"SF","Kyle Shanahan","","Robert Saleh",5,3,0.625,0.757575757575758
"338",2020,"SF","Kyle Shanahan","","Robert Saleh",3,5,0.375,0.264705882352941
"339",2021,"SF","Kyle Shanahan","Mike McDaniel","DeMeco Ryans",5,5,0.5,0.484848484848485
"340",2022,"SF","Kyle Shanahan","","DeMeco Ryans",3,1,0.75,0.941176470588235
"341",2023,"SF","Kyle Shanahan","","Steve Wilks",1,3,0.25,0
"342",2024,"SF","Kyle Shanahan","","Nick Sorensen",2,6,0.25,0.0882352941176471
"343",2025,"SF","Kyle Shanahan","Klay Kubiak","Robert Saleh",5,1,0.833333333333333,0.96969696969697
"344",2015,"TB","Lovie Smith","Dirk Koetter","Leslie Frazier",5,4,0.555555555555556,0.588235294117647
"345",2016,"TB","Dirk Koetter","Todd Monken","Mike Smith",6,4,0.6,0.676470588235294
"346",2017,"TB","Dirk Koetter","Todd Monken","Mike Smith",3,7,0.3,0.21875
"347",2018,"TB","Dirk Koetter","Todd Monken","Mark Duffner, Mike Smith",4,7,0.363636363636364,0.303030303030303
"348",2019,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",3,6,0.333333333333333,0.212121212121212
"349",2020,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",3,3,0.5,0.5
"350",2021,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",6,0,1,1
"351",2022,"TB","Todd Bowles","Byron Leftwich","Larry Foote, Kacy Rodgers",6,4,0.6,0.735294117647059
"352",2023,"TB","Todd Bowles","Dave Canales","Larry Foote, Kacy Rodgers",3,4,0.428571428571429,0.352941176470588
"353",2024,"TB","Todd Bowles","Liam Coen","Larry Foote, Kacy Rodgers",3,5,0.375,0.382352941176471
"354",2025,"TB","Todd Bowles","Josh Grizzard","",6,6,0.5,0.515151515151515
"355",2015,"TEN","Mike Mularkey","Jason Michael","Ray Horton",2,6,0.25,0.0294117647058824
"356",2015,"TEN","Ken Whisenhunt","Jason Michael","Ray Horton",2,6,0.25,0.0294117647058824
"357",2016,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",6,5,0.545454545454545,0.588235294117647
"358",2017,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",6,4,0.6,0.6875
"359",2018,"TEN","Mike Vrabel","Matt LaFleur","Dean Pees",4,3,0.571428571428571,0.727272727272727
"360",2019,"TEN","Mike Vrabel","Arthur Smith","Dean Pees",3,3,0.5,0.484848484848485
"361",2020,"TEN","Mike Vrabel","Arthur Smith","",7,2,0.777777777777778,0.882352941176471
"362",2021,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",6,2,0.75,0.848484848484849
"363",2022,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",5,6,0.454545454545455,0.529411764705882
"364",2023,"TEN","Mike Vrabel","Tim Kelly","Shane Bowen",5,7,0.416666666666667,0.323529411764706
"365",2024,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",2,6,0.25,0.0882352941176471
"366",2025,"TEN","Mike McCoy","Nick Holz","Dennard Wilson",2,5,0.285714285714286,0.121212121212121
"367",2025,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",2,5,0.285714285714286,0.121212121212121
"368",2015,"WSH","Jay Gruden","Sean McVay","Joe Barry",4,3,0.571428571428571,0.676470588235294
"369",2016,"WSH","Jay Gruden","Sean McVay","Joe Barry",5,4,0.555555555555556,0.647058823529412
"370",2017,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",4,3,0.571428571428571,0.59375
"371",2018,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",4,2,0.666666666666667,0.848484848484849
"372",2019,"WSH","Bill Callahan","Kevin O'Connell","Greg Manusky",3,3,0.5,0.484848484848485
"373",2019,"WSH","Jay Gruden","Kevin O'Connell","Greg Manusky",3,3,0.5,0.484848484848485
"374",2020,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",3,5,0.375,0.264705882352941
"375",2021,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",5,4,0.555555555555556,0.666666666666667
"376",2022,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",5,3,0.625,0.764705882352941
"377",2023,"WSH","Ron Rivera","Eric Bieniemy","Jack Del Rio",4,6,0.4,0.264705882352941
"378",2024,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",8,4,0.666666666666667,0.852941176470588
"379",2025,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",2,5,0.285714285714286,0.121212121212121
